Keywords searched,Job title,Date parsed,Company name,Location,Occupation,Job rank,Content,Date published
Data Architect,Data Engineer / Solution Architect,2019-11-16,Banian AG,Deutschschweiz,80% – 100%,Position with responsibilities,,28.10.2019
Data Architect,Senior Solution Architect E-commerce,2019-11-16,Syngenta,Basel,100%,Position with responsibilities,,07.11.2019
Data Architect,Data Warehouse Developer - Oracle PL/SQL,2019-11-16,RM IT Professional Resources AG,Bern,100%,Position with responsibilities,"Data Warehouse Developer - Oracle PL/SQL (w/m) Position bei unserem Kunden aus dem Finanzbereich in Bern zu besetzen.

Ihre Kenntnisse:

 * Mehrjährige Erfahrung mit Oracle, SQL und PL/SQL
 * Praktische Erfahrung mit BI Datenverarbeitung, ETL-Tools sowie logischer und physischer Datenmodellierung im DWH Umfeld
 * Know-how im Reporting und IBM Info-Sphere
 * Affinität für konzeptionelle und analytische Tätigkeiten, sowie eine umsetzungsstarke und kommunikative Persönlichkeit, die selbständiges Arbeiten in einem DevOp-Team gewohnt ist
 * Komplexe Zusammenhänge strukturieren und verständlich wiedergeben
 * Sprachen: Deutsch, fliessend in Wort und Schrift; Englisch Grundkenntnisse

Ihre Aufgaben:

 * Weiterentwickeln eines neuen EDWH und Konsolidieren der alten DWH's auf Basis von Oracle und PL/SQL
 * Analysieren von Quellsystemen für das Data Warehouse und Datamarts, sowie Erstellen des ETL-Designs für ein skalierbares Data Warehouse
 * Sicherstellen des Betriebes im Team unter Einhaltung der SLA's und Performance-Optimierung
 * Beraten und Assistieren von Kunden bei der Konzeption, Analyse und Implementierung

Start: per sofort
Projektdauer: 06MM+
Ort: Bern, Schweiz
Ref.Nr.: BH14936

Klingt das nach einem Job für Sie? Dann machen Sie den nächsten Schritt und senden Sie Ihren Lebenslauf als Word Dokument sowie eine Telefonnummer, unter der wir Sie tagsüber erreichen können.

Going the Extra Mile.

Als bevorzugter Personalvermittler für Schweizer Banken, internationale Versicherungen, Finanzdienstleister sowie Software und Pharma Unternehmen akquirieren wir seit 1998 täglich fachlich spannende Projekte in Zürich, Bern, Basel sowie anderen Regionen der Schweiz.

Aufgrund der Schweizer Einschränkungen hinsichtlich der Arbeitserlaubnis können wir nur Bewerbungen von Schweizern, EU-Bürgern und Personen mit Arbeitserlaubnis in Betracht ziehen. Wir bitten um Ihr Verständnis.

Neu in der Schweiz? Bei einer erfolgreichen Vermittlung unterstützen wir Sie bei:

 * Bürokratischen Fragen
 * Wohnungssuche
 * Kranken- und Sozialversicherung
 * Arbeitserlaubnis u.v.m.



Wir freuen uns über Ihr Interesse. Wenn Sie sich auf diese Stelle bewerben, stimmen Sie der Speicherung und Verarbeitung Ihrer Daten für den Bewerbungsprozess zu. Dabei halten wir uns strikt an geltende Datenschutzgesetze.Data Warehouse Developer - Oracle PL/SQLData Warehouse Developer - Oracle PL/SQL (w/m) Position bei unserem Kunden aus dem Finanzbereich in Bern zu besetzen.  Ihre Kenntnisse:   Mehrjährige Erfahrung mit Oracle, SQL und PL/SQL Praktische Erfahrung mit BI Datenverarbeitung, ETL-Tools sowie logischer und physischer Datenmodellierung im DWH Umfeld Know-how im Reporting und IBM Info-Sphere Affinität für konzeptionelle und analytische Tätigkeiten, sowie eine umsetzungsstarke und kommunikative Persönlichkeit, die selbständiges Arbeiten in einem DevOp-Team gewohnt ist Komplexe Zusammenhänge strukturieren und verständlich wiedergeben Sprachen: Deutsch, fliessend in Wort und Schrift; Englisch Grundkenntnisse   Ihre Aufgaben:   Weiterentwickeln eines neuen EDWH und Konsolidieren der alten DWH's auf Basis von Oracle und PL/SQL Analysieren von Quellsystemen für das Data Warehouse und Datamarts, sowie Erstellen des ETL-Designs für ein skalierbares Data Warehouse Sicherstellen des Betriebes im Team unter Einhaltung der SLA's und Performance-Optimierung Beraten und Assistieren von Kunden bei der Konzeption, Analyse und Implementierung   Start: per sofort Projektdauer: 06MM+ Ort: Bern, Schweiz Ref.Nr.: BH14936 Klingt das nach einem Job für Sie? Dann machen Sie den nächsten Schritt und senden Sie Ihren Lebenslauf als Word Dokument sowie eine Telefonnummer, unter der wir Sie tagsüber erreichen können.  Going the Extra Mile.  Als bevorzugter Personalvermittler für Schweizer Banken, internationale Versicherungen, Finanzdienstleister sowie Software und Pharma Unternehmen akquirieren wir seit 1998 täglich fachlich spannende Projekte in Zürich, Bern, Basel sowie anderen Regionen der Schweiz. Aufgrund der Schweizer Einschränkungen hinsichtlich der Arbeitserlaubnis können wir nur Bewerbungen von Schweizern, EU-Bürgern und Personen mit Arbeitserlaubnis in Betracht ziehen. Wir bitten um Ihr Verständnis. Neu in der Schweiz? Bei einer erfolgreichen Vermittlung unterstützen wir Sie bei:  Bürokratischen Fragen Wohnungssuche Kranken- und Sozialversicherung Arbeitserlaubnis u.v.m.     Wir freuen uns über Ihr Interesse. Wenn Sie sich auf diese Stelle bewerben, stimmen Sie der Speicherung und Verarbeitung Ihrer Daten für den Bewerbungsprozess zu. Dabei halten wir uns strikt an geltende Datenschutzgesetze. RM IT Professional Resources AGPushpak Shah+41 58 356 06 06",15.11.2019
Data Architect,Microsoft Data Warehouse/BI-Entwickler (m/w),2019-11-16,ROSEN Swiss AG,Stans,100%,Employee,"Jobbeschreibung Mit dieser Position verstärken wir unser Data Warehouse Team am Hauptsitz der Rosen Gruppe in der Zentralschweiz. Im wesentlichen sind Sie mit den folgenden Aufgaben betraut: Planung,…Microsoft Data Warehouse/BI-Entwickler (m/w)  JobbeschreibungMit dieser Position verstärken wir unser Data Warehouse Team am Hauptsitz der Rosen Gruppe in der Zentralschweiz. Im wesentlichen sind Sie mit den folgenden Aufgaben betraut: Planung, Konzipierung, Betrieb und Weiterentwicklung der Business Intelligence- und Data Warehouse-Applikationen Formulierung des Lösungsansatzes und Durchführung der Entwicklung Optimierung und Anpassung an die Bedürfnisse der Fachbereiche Anbindung der BI-Plattform an andere Systeme Ermittlung, Auswertung und Dokumentation von Prozessen Erstellung der Datengrundlage aus diversen Quellen Erstellen von Benutzerleitfäden Weiterführende projektbezogene Aufgaben  AnforderungenUm Teil der Rosen Familie zu werden, überzeugen Sie duch Kommunikationsstärke und ausgeprägte analytische Fähigkeiten. Ausserdem bringen Sie mit: Ein abgeschlossenes Studium der (Wirtschafts-)Informatik oder eine vergleichbare Studienrichtung Erfahrung mit relationalen sowie multidimensionalen Datenbanken und deren Entwurf Kenntnisse im Microsoft BI-Bereich (SQL-Server, Analysis Server, Reporting Services, Integration Services, Power BI, SharePoint, Excel) sowie Visual Studio und der .NET-Technologie sind wünschenswert Konzeptionelle Stärke, Dokumentationskompetenz und ein selbständiger Arbeitsstil Bereitschaft zu gelegentlichen Dienstreisen Gute Sprachkenntnisse in Deutsch und Englisch Erste Berufserfahrung / Nachwuchstalent mit Potential für weiterführende Aufgaben  Unser AngebotWir bieten Ihnen einen vielseitigen Aufgabenbereich in einem kleinen Team in internationalem Umfeld. Es erwarten Sie fortschrittliche Arbeitsbedingungen in einem innovativen und zukunftsorientierten Unternehmen.Wenn Sie in dieser Position eine Herausforderung sehen, bewerben Sie sich hier online.   ROSENist ein führendes Familien-Unternehmen, das 1981 von Hermann Rosen gegründet wurde. Über die letzten 4 Dekaden wuchs ROSEN organisch und ist heute eine weltweit operierende Technologiegruppe in über 120 Ländern mit über 3300 Mitarbeiterinnen und Mitarbeitern.ROSEN Mitarbeiterinnen und Mitarbeiter besitzen die Leidenschaft für Technologien und Innovationen. Unser Claim „empowered by technology“ ist der Schlüssel zu unseren herausragenden und einzigartigen Produkten und Dienstleistungen, sowohl in der Öl und Gas - als auch in verschiedensten anderen Industrien. Im Fokus unserer Forschung und unserer Lösungen steht der sichere Betrieb von industriellen Anlagen – zum Schutz von Mensch und Umwelt.     ROSEN Swiss AG
Frau Denise Flury
Human Resources
Obere Spichermatt 14
6370 Stans
041 618 03 05
XING: https://www.xing.com/profile/Denise_Flury;key=0.0Display original ad",08.11.2019
Data Architect,Agile DWH Analyst 80 - 100%,2019-11-16,Credit Suisse AG,Zürich,80% – 100%,Position with responsibilities,"Agile DWH Analyst 80 - 100%Agile DWH Analyst 80 - 100% #122411Switzerland-Switzerland - Region Zurich-Zürich | Full-time (FT) | Technology [IT] | Job ID 122411Software Development / EngineeringGerman Die Credit Suisse ist ein weltweit führender Vermögensverwalter mit einem starken Investment Banking. Der Hauptsitzbefindet sich in Zürich, Schweiz. Wir verfügen über Geschäftsaktivitäten in ca. 50 Ländern und beschäftigen mehr als45000 Mitarbeitende aus über 150 verschiedenen Nationen. Die Credit Suisse verkörpert Unternehmergeist und stellt mitinnovativen Produkten und einer massgeschneiderten Beratung ganzheitliche Finanzlösungen für ihre Kunden bereit. Wirstreben nach Qualität und Exzellenz. Deshalb anerkennen und belohnen wir aussergewöhnliche Leistungen unsererMitarbeitenden, bieten vielfältige Aus- und Weiterbildungsmöglichkeiten und profitieren von einer Vielzahlunterschiedlicher Perspektiven, um einen Mehrwert für unsere Kunden, Aktionäre und andere Anspruchsgruppen zu schaffen.Wir sind die Credit Suisse. Wir bieten - Wir bieten Ihnen eine herausfordernde und interessante Rolle in unserem Scrum Team, in diesem tragen SieMitverantwortung, ein strategisches Projekt in der Data Warehouse Umgebung erfolgreich End-to-End abzuliefern. DasScrum Team ist im Uetlihof Zürich angesiedelt- Sie werden mitverantwortlich sein für ein ehrgeiziges Projekt, das Contnous Integration, Continous Delivery undagile Entwicklung umsetzt- Sie werden regelmässig Möglichkeiten erhalten, sowohl mit Senior Business Partnern als auch mit Stakeholder der DataWarehouse Plattform zu interagieren- In dieser Rolle werden Sie Gelegenheit zur Business Analyse und Entwicklung in den verschiedensten Themen der Bank(z.B. Credit-Risk) bekommen. Sie werden hierfür eng mit unseren Business Partnern zusammenarbeiten.- Ein multinationales Team, in dem Sie Verstand und Leidenschaft für hervorragendes Design, Innovation und Technologieeinbringen können, damit unsere Kunden ihre Ziele erreichen können Sie bieten - Einen Abschluss (Universität oder FH) in Informatik, Wirtschaftsinformatik oder einem entsprechenden Fachgebiet- Mindestens 5 Jahre Berufserfahrung in einer Projektrolle wie Business Analyst, Requirements Engineer and SoftwareEngineer in Oracle, PL/SQL, PowerCenter und DWH- Sie können auf eine erfolgreiche Geschichte, bevorzugt in agilen und internationalen Teams, zurückblicken- Sie verfügen über ein fundiertes Wissen in Data Warehouse Umgebungen; Scrum Methodik und ein tiefes Verständnis vonIT-Archiektur- Erfahrung im Umgang mit Senior Partnern, vorzugsweise im Finanzsektor, wäre von Vorteil- Sie bedienen sich einer hervorragenden Kommunikation, um Zusammenzuarbeiten, Einfluss zu nehmen und innovativ denStatus Quo positiv zu hinterfragen- Sie sind ein fokussierter Problemlöser mit einer positiven offenen Persönlichkeit- Hervorragende schriftliche und mündliche Kenntnisse in Deutsch und Englisch sind ein Muss *LI-CSJOB* *jobsch*Frau L. Büchli freut sich über Ihre Bewerbung.Bitte bewerben Sie sich über unser Karriere-Portal. Die Credit Suisse fördert Chancengleichheit. Kulturelle Vielfalt verschafft uns einen Wettbewerbsvorteil auf demglobalen Markt und ist entscheidend für unseren Erfolg.Display original ad",21.10.2019
Data Architect,Big Data Engineer,2019-11-16,42matters,Zürich,100%,Position with responsibilities,,30.10.2019
Data Architect,ICT BI / DWH Specialist (m/w),2019-11-16,Bossard AG,Zug,100%,Employee,"Wir sind ein zukunftsorientiertes und innovatives Unternehmen tätig im technischen Grosshandel mit Hauptsitz in Zug. Die von uns entwickelten Logistiksysteme basieren auf einer Java-Webapplikation und senken beim Kunden den Aufwand für Beschaffung, Lagerhaltung und Montage massiv. ARIMS, die Interaktive Supply Chain Plattform, ist eine kluge Lösung für die Bewirtschaftung von C-Teilen. Entscheiden Sie sich für Bossard als Arbeitgeber und profitieren Sie von attraktiven   Anstellungsbedingungen  . Zur Unterstützung unserer IT Abteilung suchen wir eine/nICT BI / DWH Specialist (m/w)Als Teammitglied übernehmen Sie die zentrale Rolle im Bereich Business Intelligence und Datawarehouse.      Über uns / unsere Arbeit  Wir sind begeisterte Techies. Kollegialer Umgang, aktiver Austausch, aber auch Begeisterung für Neues ist uns wichtig. Infolge Einführung unseres neuen ERP Microsoft Dynamics AX werden firmenweit neue BI Tools eingesetzt. In diesem Bereich gilt es Synergien zu schaffen und ARIMS-DWH mit MS Power BI zu pflegen. Als zukünftiger Teamkollege decken Sie IT-technische Belange wie ETL-Prozesse ins DH sowie Datamodel / Tabular Modell zentral ab.        Technologie-Stack    MS-SQL, SQL   MS-SQL Server Studio   MS Power-BI, SSIS, XML, MDX, DAX   AZURE Cloud - Python und R wünschenswert   Rest, Soap   JIRA        Ihre Aufgaben    Erarbeiten eines Enterprise Business Intelligence (BI) Konzeptes   Design, Implementation, Test und Dokumentation standardisierter Datenintegrations- / ETL-, Data Warehouse- und Big Data-Lösungen   Anforderungen der Fachbereiche für Reportings und Dashboards in Zusammenarbeit mit dem Business Analysten aufnehmen   Erstellen der Konzepte sowie Umsetzung der Lösungen für Datenimport, Transformation und Bereitstellung der businessnahen Datenmodelle (Tabular Model, Datamarts, OLAP)   Betreuen und Weiterentwickeln der technischen Data-Warehouse Umgebung   Migrieren von Reports, welche direkt auf Datenbanken zugreifen   Erweitern, Anpassen und Migrieren der bestehenden DWH Systeme sowie Anbindungen neuer Quellsysteme an unser zentrales DWH   Unterstützen des Business beim Erstellen von Reporten und Dashboards      Ihr Anforderungsprofil    Abgeschlossene Informatik-Lehre, idealerweise Bachelor in Informatik sowie Weiterbildungen im Bereich DWH, ETL, BI Kenntnisse   Mehrjährige Berufserfahrung in einem vergleichbaren Umfeld   Gute Auffassungsgabe sowie Interesse und Fähigkeit diverse Business Prozesse schnell zu verstehen   Gute Englisch- und Deutschkenntnisse (Schrift und Sprache)     Dann freut sich Sajra Sinanovic auf Ihre Bewerbung mittels Online-Formular. Für weitere Auskünfte zum Aufgabengebiet steht Ihnen Stephan Kost via Email unter  skost@bossard.com  gerne zur Verfügung.Bossard AG
Frau Sajra Sinanovic
Personalfachfrau
Steinhauserstrasse 70
6301 Zug
041 749 61 74Display original ad",05.11.2019
Data Architect,Global Master Data Cleansing Manager (Master Data Migration Preparation),2019-11-16,Coopers Group AG,Basel Area,100%,Executive position,,14.11.2019
Data Architect,Global Master Data Cleansing Manager,2019-11-16,Harvey Nash AG,Kaiseraugst,100%,Position with responsibilities,,14.11.2019
Data Architect,Data & Information Architect,2019-11-16,F. Hoffmann-La Roche AG,Kaiseraugst,100%,Employee,,22.10.2019
