Keywords searched,Job title,Date parsed,Company name,Location,Occupation,Job rank,Content,Date published
Data Python,Senior Consultant Data Science,2019-11-16,gateB AG,Steinhausen,80% – 100%,Position with responsibilities,"Senior Consultant Data ScienceDu bist an innovativen Themen im Bereich Data Science und Marketing Automation interessiert. Du möchtest etwas bewegenund mit deiner Erfahrung kannst du unsere Kunden in diesen Themen weiterbringen. Deine Hauptvorteile: - Hoher eigener Verantwortungsbereich und vielfältige Gestaltungsmöglichkeiten- Familiäre und kollegiale Atmosphäre- Kurze Entscheidungswege in innovativem Umfeld- Abwechslungsreiche und herausfordernde Kundenprojekte aus verschiedenen Branchen- Arbeitszeiten und Arbeitsort können individuell im Einklang mit den Kundenbedürfnissen festgelegt werden Dein Profil: - Hoch- oder Fachhochschulabschluss mit starker analytischer oder naturwissenschaftlicher Ausrichtung- Sicherer Umgang mit gängigen Analytics-Tools und Tracking Technologien (bspw. R, Python, SAS oder Tealium, Adobe)- Erfahrung in der Daten-Aufbereitung aus relationalen und non-relationalen Datenbanken und Rohdaten im JSON-Format- Anwenderkenntnisse in gängigen Dashboard-Tools (z. B. PowerBI, Tableau) und Marketing Automation-Tools (z. B.Selligent, BSI, Adobe Marketing Cloud) von Vorteil- Projekterfahrung in den Bereichen Data Science, Customer Intelligence oder Marketing Automation und hohes Interessean diesen Themen- Probleme sind für Dich ein Ansporn dafür, kreative Lösungen zu finden- Unternehmerisch denkende und vernetzt handelnde Person mit Humor Deine Hauptaufgaben: - Du identifizierst und erfragst Anforderungen und Probleme unserer Kunden, reflektierst diese und übersetzt sie inkonkrete Lösungsvorschläge und Handlungsempfehlungen- Du analysierst Kundendaten und erstellst Visualisierungen, deskriptive Analysen und prädiktive Modelle mitgeeigneten Methoden (Supervised / Unsupervised Machine Learning)- Du generierst aus diesen Analysen wertvolle Insights für unsere Kunden, um nachweisbaren Nutzen aus Daten zu kreieren- Du übernimmst Projektverantwortung bei Kundenprojekten und kommunizierst mit den Stakeholdern, um im Teamentsprechende Projekte zur Zufriedenheit unserer Kunden zu realisieren Weitere Pluspunkte für Dich: - Gestalten und nicht Verwalten- Umgebung ohne hierarchische Barrieren Laura Straub und das ganze Team freut sich über deine Online-Bewerbungsunterlagen . Transforming Digital into Value ist die Vision, welche wir leben und zu unseren Kunden transportieren. AlsBeratungsunternehmen ermöglichen wir unseren Kunden, die Chancen der voranschreitenden Digitalisierung richtig zunutzen und ihre Kundenbeziehungen schneller, intelligenter und besser zu gestalten. Dies erreichen wir mit Beratungs-und IT-Implementations-Leistungen in den Bereichen Customer Intelligence, Marketing Automation und MarketingOperations. gateB wurde 2009 gegründet und beschäftigt über 70 Beratungs- und Systemspezialisten in der Schweiz, denUSA, Italien und Singapur. gateB gehört zum Brand Leadership Circle, einem Verbund von unabhängig geführten Unternehmenim Kontext markenorientierter Unternehmensführung.Display original ad",24.10.2019
Data Python,Machine Learning Engineer (f/m),2019-11-16,Leica Geosystems AG,Heerbrugg,100%,Employee,"Machine Learning Engineer (f/m)About Us Our innovative solutions and products are characterised by the highest efficiency and reliability. Help us to improve the future, become part of our team and a global success story. Committed, dynamic and with a passion for precision, we revolutionise the world of measurement and survey. Around the globe, customers from all industries rely on our smart technologies. You support us in engineering and implementing powerful software. You are led by curiosity and not afraid to try out new ways and ideas? Join our team and make your visions come true! Machine Learning Engineer (f/m)This appeals to you - Contribution in feasibility studies to investigate opportunities in the fields of surveying, reality capture, metrology, security, agriculture- Development of machine learning algorithms and evaluation on real-live problems- Prototypical development of software modules and machine learning models for object detection, pattern recognition, classification- Contribution to the development of the machine learning software infrastructure This is you- A relevant university qualification (Master / Ph.D.) in computer science, mathematics, engineering or a related field with focus on machine learning- Knowledge of advanced methods in machine learning, in particular in Deep Neural Networks- Prooven track record of applying machine learning and data science to real-live problems- Experience in applying state-of-the-art methods on images, videos, and/or point cloud data- Proficiency in software development using languages like Python and C++- Familiarity with established machine learning and data processing frameworks and libraries like Tensorflow, Keras, Pytorch, Scikit learn, Scipy etc.- Ability to work independently as well as part of a team with a proactive approach to problem solving- Strong inter-disciplinary communication and cooperation skills How can I apply If you are interested in this challenging and varied position, then we look forward to your online application! Due to the privacy policy, we accept applications only via the application form. Hexagon Technology Center GmbH Heinrich Wild Strasse CH-9435 Heerbrugg Job-ID: ig0arzq2PersonalabteilungDisplay original ad",09.11.2019
Data Python,Développeur/-euse Python orienté Web,2019-11-16,Arcanite Solutions Sàrl,Puidoux,80% – 100%,Employee,"Arcanite est une jeune entreprise dynamique qui propose des solutions sur mesure et accompagne le développement informatique de ses clients et partenaires. L'entreprise, fondée par d'anciens membres de la communauté EPFL, compte aujourd'hui une quinzaine de collaborateurs. Notre cœur de métier est le développement de solutions personnalisées dans les domaines du développement applicatif web, du Machine Learning, du Data Engineering et de la gestion et de l’automatisation de stack de serveurs.Développeur/-euse Python orienté WebArcanite est une jeune entreprise dynamique qui propose des solutions sur mesure et accompagne le développement informatique de ses clients et partenaires. L'entreprise, fondée par d'anciens membres de la communauté EPFL, compte aujourd'hui une quinzaine de collaborateurs. Notre cœur de métier est le développement de solutions personnalisées dans les domaines du développement applicatif web, du Machine Learning, du Data Engineering et de la gestion et de l’automatisation de stack de serveurs. Vos responsabilités  Contribuer dans toutes les phases du développement des solutions proposées aux clients et partenaires (conception, développement, tests, déploiement) Participer et architecturer de projets importants pour des petites et grandes entreprises en Suisse Échanger et participer avec le reste de l'équipe pour enrichir l'expérience de chacun  Profil recherché  Formation supérieure en informatique ou ingénierie (Ingénieur EPFL / ETHZ, Ingénieur HES, etc.) appréciée Une personne technologiquement polyvalente et motivée à explorer de nouveaux domaines Intérêt pour l’Open Source Curiosité et ouverture d’esprit Capacité à travailler en équipe, de valoriser le travail des autres Capacité à transmettre ses connaissances (conseil, formation, échanges techniques) Langues : français courant écrit/oral et anglais (min. B1), allemand un plus  Qualifications Compétences minimales  Bonnes connaissances en Django Bonne maîtrise de Python Bonnes compétences dans l’architecture d'application, APIs, services REST Bonne compréhension du Web et de ses technologies (HTML, CSS et JS) Solide expérience en Vue.js ou équivalent (React, Angular, etc.)  Compétences appréciées  Compétences de base en administration système Linux et SaltStack Des expériences précédentes dans nos domaines métiers Bonnes compétences pratiques avec Git et Gitlab Expérience avec les outils CI/CD, leur configuration et leur support  Ce que nous offrons  Un travail avec des technologies modernes Une expérience professionnelle dans des domaines de pointe Un cadre de travail agréable et ambiance détendue dans une jeune entreprise L’occasion d’apprendre des nouvelles technologies avec des personnes qui en ont une bonne maitrise  Date d’embauche À convenir, dès que possible Type de contrat CDI Taux d'activité 80-100% Lieux de travail Puidoux, Suisse (à 10 min de train de la gare Lausanne, bureau à 4 min. à pied de la gare de Puidoux, places de parking disponibles)Route du Verney 18 1070 PuidouxDisplay original ad",14.11.2019
Data Python,Data Engineer mit Flair für Analytics,2019-11-16,Noser Engineering AG,Winterthur,80% – 100%,Position with responsibilities,"Data Engineer mit Flair für Analytics Möchtest du ein NOSER werden und die Zukunft mitgestalten?Dann bewirb dich bei uns. Ein Ort, an dem echte Wertschätzung gelebt wird. Noser Engineering unterstützt lokale und multinationale Unternehmungen mit individuellen digitalen Lösungen. Als führendes und etabliertes Schweizer Software-Unternehmen entwickeln wir mit mehr als 200 Consultants und Ingenieure erfolgreich Geschäftsmodelle und Produkte. Wir begleiten die Kunden von der Idee über die Realisierung zum Betrieb und bis zur Wartung und Weiterentwicklung. Sie vertrauen auf unsere breite Erfahrung sowie auf unseren Einsatz von neusten Technologien. Gemeinsam erreichen wir nachhaltig die Geschäftsziele unserer Kunden - we know how.   Deine Aufgaben:  Du nimmt die Kundenanforderungen auf, entwirfst skalierbare Lösungs-und Datenarchitekturen und implementierst diese auch selbst auf Azure Du Modellierst Data Warehouse Lösungen und ETL/ELT Pipelines unter Verwendung von Best Practices mit aktuellsten Technologien Beraten von Kunden und internen Solution Architekten im Bereich Big Data und Analytics Unterstützung des Verkaufs bei Konzeption und Aufwandsschätzung in Angeboten und bei der Erstellung von Prototypen z.B. mit Power BI Du entwickelst zusammen mit Solution Architekt, Projektleiter, Entwicklern und Testern Cloud-/IoT-Lösungen    Dein Profil:  Praxiserfahrung im Erstellen von skalierbaren Datenplattformen mit Azure Technologien Datenverarbeitung mittels Data Factory, Spark (Databricks oder HDInsight), Stream Analytics Erfahrung im Entwickeln von Analytics Lösungen mit SQL Datawarehouse, Azure Storage, Power BI (zwingend), Analysis Services, Data Lake Storage (von Vorteil) Fähigkeit einfache Machine Learning Modelle zu implementieren z.B. mit Spark ML Zwingende Python und SQL Kenntnisse, C#, Scala, R von Vorteil    Wir bieten dir:Du arbeitest in einem modernen und agilen Unternehmen mit attraktiver Arbeitsplatzkultur. Mitarbeiterzufriedenheit wird bei uns grossgeschrieben. Das bestätigen die positiven Bewertungen auf www.kununu.com. Es erwarten dich herausfordernde und hochspannende Projekte in einem dynamischen Team. Der Leitsatz «Vorsprung dank Wertschätzung» prägt unsere interne und externe Zusammenarbeit. Der menschliche Umgang, Freiraum, Eigenverantwortung sind uns wichtig. Wir bieten dir interessante Karrieremöglichkeiten sowie ein hervorragendes Ausbildungskonzept für deine fachliche und persönliche Weiterentwicklung. Möchtest du die Zukunft mitgestalten?Werde ein NOSER und bewirb dich noch heute online. Hast du noch Fragen, dann wende dich bitte an: [email protected]  Filiale Winterthur: Oliver Voll, +41 52 234 56 11 PDF LADENJETZT BEWERBEN!Noser Engineering AG
Herr Oliver Voll
Business Unit Leiter
Rudolf-Diesel-Strasse 3
8404 WinterthurDisplay original ad",15.11.2019
Data Python,Product Data Analyst (m/w),2019-11-16,Geberit AG,Rapperswil-Jona,100%,Employee,"Product Data Analyst (m/w)Die fortschreitende Digitalisierung bietet spannende Aufgaben im Spannungsfeld zwischen Technologie, Daten, Menschen und Kaufentscheidungen. Um den steigenden Anforderungen an unsere Produktdaten und den automatisierten Austausch derselben auf Basis verschiedener internationaler Standards zu begegnen, baut die Geberit Gruppe am Hauptsitz in Jona ein neues interdisziplinäres Team aus Fachleuten aus den Bereichen zu Data und Data Exchange auf. Im Rahmen des langfristig angelegten Programms «Data-Exchange-Acceleration» suchen wir Sie!Die weltweit tätige Geberit Gruppe ist europäischer Marktführer für Sanitärprodukte. Geberit verfügt in den meisten Ländern Europas über eine starke lokale Präsenz und kann dadurch sowohl auf dem Gebiet der Sanitärtechnik als auch im Bereich der Badezimmerkeramiken einzigartige Mehrwerte bieten. Die Fertigungskapazitäten umfassen 29 Produktionswerke, davon 6 in Übersee. Der Konzernhauptsitz befindet sich in Rapperswil-Jona in der Schweiz. Mit rund 12 000 Mitarbeitenden in rund 50 Ländern erzielte Geberit 2018 einen Nettoumsatz von CHF 3,1 Milliarden. Die Geberit Aktien sind an der SIX Swiss Exchange kotiert und seit 2012 Bestandteil des SMI (Swiss Market Index). HAUPTAUFGABENSie bewegen sich sicher in der komplexen und faszinierenden Welt der artikelbezogenen Stammdaten der Geberit Gruppe und den verschiedenen nationalen und internationalen Datenstandards, nach denen wir die Datenlieferungen an die Grosshändler sicherstellen.Beim diesem Product Data Exchange unterstützen und planen Sie die Verknüpfung, Transformation, Aufbau und Pflege der Geberit Produktdaten. Helfen Sie uns weiterhin stolz auf unsere Datenqualität und unsere Datenlieferungen zu sein. Als Product Data Analyst (Master Data Manager) umfasst Ihr Verantwortungsbereich folgende Tätigkeiten:  Akkurate Analyse von internationalen Datenstandards Mapping zu intern vorhandenen Produktdaten Definieren von intern noch fehlenden Attributen und Daten Enge Zusammenarbeit mit internen und externen Product Data Spezialisten in Deutsch und Englisch Präzise Anforderungsanalyse und Unterstützung der notwendigen internen und externen Anpassungen Definieren von Business-Rules für die Messung der Datenqualität Laufende Erstellung der Übersicht über alle zu bearbeitenden Dateninhalte und Attribute der jeweiligen Datenstandards sowie aufzeigen der gemeinsamen Nenner und der Priorisierung Validieren der Data Exchange Files aus der Sicht der Datenstandards Abteilungsübergreifendes Zusammenarbeiten in interdisziplinären Projektteams  PROFILAls fachliche Grundlage erfordert diese Funktion eine Ausbildung mit technischer Neigung. Alternativ bringen Sie mit einem Studium der Wirtschaftsinformatik, Qualitätsmanagement oder einer anderen ähnlichen Ausbildung ebenfalls gute Voraussetzungen mit. Zudem zeichnen Sie als Product Data Analyst (Master Data Manager) folgende Punkte aus:  Freude am Umgang mit Daten, der Analyse von Datenstandards und an der Datenverarbeitung Lösungsorientiertes Arbeiten und grosses Qualitätsbewusstsein Aus Eigenantrieb sorgen Sie schon immer für saubere Dateninhalte und klar definierte Datenattribute  Kommunikative, teamorientierte Arbeitsweise, aber auch im Sinne der Sache klar und unmissverständlich bleiben zu können Analytisches und konzeptionelles Denkvermögen Freude am Organisieren von Teilprojekten Ausgeprägte Excel-Kenntnisse Programmierkenntnisse zur Datenanalyse und -transformation in Python, R, JavaScript oder Visual Basic von Vorteil Verständnis für xml/json und relationale Datenbanken von Vorteil Sehr gute, präzise Deutsch- sowie Englischkenntnisse in Wort und Schrift notwendig  BEWERBUNGWir bieten Ihnen die Perspektiven eines erfolgreichen Unternehmens und ein äusserst vielfältiges Aufgabengebiet. Interessiert? Dann freuen wir uns auf Ihre aussagekräftige Online-Bewerbung. Personaldienstleister verwenden bitte ihren bestehenden Recruiter-Zugang oder fordern unter dieser Mailadresse einen solchen an. Geberit International AGGabriela StehlinHead HR Switzerland CH-8645 Jona+41 55 221 64 97Display original ad",15.11.2019
Data Python,IT Big Data Software Engineer,2019-11-16,UBS AG,Opfikon,80% – 100%,Position with responsibilities,"200792BRIT Big Data Software EngineerYour role Are you a highly experienced, software developer? Do you want to design and build next generation business applications using the latest technologies? Are you confident at iteratively refining user requirements and removing any ambiguity? Do you like to be challenged and encouraged to learn and grow professionally? We are looking for Software Engineers to:*	provide technology solutions that will solve business problems and strengthen our position as digital leaders in financial services*	analyse business requirements with the business analysts in a small and dynamic team*	design, plan and deliver production quality solutions using modern programming languages*	write automated tests as part of the software lifecycle*	continuously improve and drive non-functional requirements of the platforms allowing sustainability and maintainability of delivered code*	provide technical expertise and recommendations in assessing new software projects and initiatives to support and enhance our existing applications*	conduct code reviews and test software as needed, along with participating in application architecture and design and other phases of SDLC*	see that proper operational controls and procedures are implemented to facilitate the move from test to production*	support, analyse and quickly react to production issues*	provide insights into newer technologies that will form the basis of future architecture projects  Your team You will be working in the Liquidity and Funding Technology team, as part of the UBS Group Treasury Technology division in our Zurich, Opfikon office. This team provides IT solutions to manage large data and to provide reporting to the Group Treasury function at a regulatory level.As a Software Engineer, you will play an important role in designing and developing the solutions for our stakeholder.  Your experience and skills *	software engineer with a strong background in mathematics*	strong core Java working knowledge and experience*	understanding of multithreading concepts and issues*	knowledge and experience of Spring framework (MVC, Security, Web)*	working experience of in-memory databases and caches*	writing medium to advanced complexity SQL queries*	know how to track down performance issues and mitigate*	knowledge and experience in JavaScript, HTML, CSS and Web UI development*	Big Data knowledge and at least 2-4 years working experience, preferred is: Microsoft Azure; Hadoop (HDFS); Databricks; Python; Apache Kafka; Apache Spark; Docker; Kubernetes; Elasticsearch; AI / Machine Learning*	working experience of a JS framework is a plus, preferred is: Dojo*	highly desirable is MS Excel with VBA, MS Access and Oracle knowledge*	know-how to apply standards, methods, techniques and templates as defined by software development lifecycle (SDLC)*	practical experience with source code control systems and release management practices*	hands-one experience in modern agile practices towards code quality including TDD/BDD, CI/CD and code reviews*	be able to produce secure and clean code that is stable, operational, consistent and well-performing*	knowledge of the most common design patterns*	design, plan and deliver solutions in a large scale enterprise environment*	Bachelor's degree or equivalent in Computer Science with a focus in a finance-related subject You are:*	fluent in English*	focused on quality*	an excellent communicator and quick learner*	a flexible, open-minded and cooperative person*	aware of on-going technology trends and know how to pragmatically leverage their benefits*	interested in working in a fast-paced international environment as part of an international team  About us Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world. We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?  Join Us  We're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.  Disclaimer / Policy Statements UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce. Corporate Center Information TechnologyDisplay original ad",15.11.2019
Data Python,Internship Big Data,2019-11-16,SIX,Zürich,100%,Employee,"SIX operates the infrastructure underpinning the Swiss financial sector and offers a comprehensive range of services around the world in the fields of securities trading and settlement, financial information and payment transactions.Internship Big DataData Engineering team provides end to end reporting capabilities for the SIX Swiss Exchange and its stakeholders (among others Market Participants, FINMA, SNB, Market Surveillance). Large data volume (hundreds of millions data points per day) requires robust and modern technical solutions whereas a central position in the financial system of Switzerland demands high stability and availability.For such exciting and demanding environment we are looking for an interested talent that would like to get experience in the Big Data systems for financial service industry as well as to leave his or her personal impact and fingerprint within the Data Engineering team. Contribution to the further development of our Big Data infrastructure for the Swiss Exchange Exploring new Big Data/Machine learning solutions that can be offered to our stakeholders Implementing new data pipelines and loading external data to the cluster Optimizing current Data Engineering processes Enabling users outside Data Engineering team to work with the cluster   Bachelor in Data Science or a similar field At least one of the following languages: Scala, R, Python Knowledge of databases, data modeling and SQL (Big Data experience would be a plus) Web technologies experience would be a plus Interest in business intelligence, data warehouses and machine learning Basic understanding of capital and financial markets Excellent verbal and written skills in English and German  If you have any questions, please call Melanie Kurath +41 58 399 31 80. We only accept online direct applications.Display original ad",12.11.2019
Data Python,Data Analyst Prozessentwicklung CRM Kundendienst (w/m) - befristet,2019-11-16,Die Schweizerische Post,Bern,80% – 100%,Employee,"Data Analyst Prozessentwicklung CRM Kundendienst (w/m) - befristet Sie arbeiten im Marketing von PostMail und gestalten an vorderster Front die Serviceprozesse in den Kundendiensten der Post. Gemeinsam mit den Fachbereichen und Kollegen/-innen gestalten Sie die Arbeitsabläufe der Zukunft. Sie erstellen datengetriebene Analysen für die Entwicklung von Kostenpotenzialen und Prozessoptimierungen in den Kundendienstprozessen der Produkte und Dienstleistungen von PostMail. Bei Ihrer Tätigkeit gehört das Prototyping und die Modellierung von Datenstrukturen zu einem festen Bestandteil. Dazu erstellen Sie aus den vorhandenen Datenquellen Kundensegmente / -cluster, Trends, Kundenwerte und Scoringmodelle und erkennen systematische Muster daraus. Sie betreiben statistische Datenanalysen, deskriptive Modellierung, Datenexploration, Data Mining sowie Anwendungen von Big Data-Ansätzen im Bereich Machine Learning. Sie arbeiten an spannenden Use Cases in agiler Projektmethodik, um Erfolge im Bereich der Data Discovery zu erzielen. Zusätzlich beraten Sie die Fachbereiche bei analytischen Fragestellungen und helfen ihnen bei der Beantwortung von Business Fragestellungen. Einfache Prozessabläufe definieren Sie selbständig und setzen diese im Team um. Die Stelle ist für neun Monate befristet. Sie verfügen über einen höheren Abschluss (Universität oder FH) mit Vertiefung in quantitativer resp. analytischer Ausrichtung in Mathematik/Statistik, Datenanalyse oder Data Science. Idealerweise bringen Sie bereits Erfahrungen als Data Analyst, Data Scientist oder Statistiker mit. Kenntnisse von mindestens einer Anwendung wie SAS, Python oder R ist eine Voraussetzung, zudem sind SQL-Abfragen kein Fremdwort für Sie. Zu Ihren Stärken gehört eine konzeptionelle und vernetzte Denkweise sowie eine schnelle Auffassungsgabe. Bei der Bewältigung der Aufgaben können Sie sich auch auf Ihre Intuition und Kreativität verlassen. Präsentationen vor Mitarbeitenden und Management sind für Sie eine gern gesehene Herausforderung. Sie sprechen Deutsch, Französisch oder Englisch mit guten Kenntnissen einer hier erwähnten Zweitsprache. Sind Sie zudem eine flexible Persönlichkeit, welche gerne selbstständig, teamorientiert, methodisch und zielgerichtet arbeitet? Dann gehören Sie vielleicht schon bald zu unserem Team. Anstellung: 80-100%Anstellungsort(e): BernReferenznummer: 6490Art der Anstellung: BefristetPostbereich: PostMail Barbara Schneider SchmutzLeiterin Kundendienst PostMailTelefon 079 822 14 42Display original ad",13.11.2019
Data Python,DevOps Python Developer,2019-11-16,MBA Michael Bailey Associates GmbH,Zurich,100%,Position with responsibilities,,08.11.2019
Data Python,SOFTWARE ENGINEER PYTHON (M/W) 60-100%,2019-11-16,Signifikant Solutions AG,Root D4,60% – 100%,Position with responsibilities,,30.10.2019
